Test_ID,Predicted_Reference_Parameter,Validity_Label
TST-0205,29.63871833333332,Valid
TST-0348,22.819353000000035,Valid
TST-0177,22.191258333333323,Valid
TST-0267,38.380508555555515,Valid
TST-0308,23.348403666666638,Valid
TST-0087,43.52042666666674,Invalid
TST-0117,17.17967200000005,Valid
TST-0014,17.786310333333343,Valid
TST-0154,23.99559500000004,Valid
TST-0207,47.742231333333365,Valid
TST-0187,21.88991300000003,Valid
TST-0236,20.818484666666677,Valid
TST-0283,37.52393666666668,Invalid
TST-0089,18.29941366666668,Valid
TST-0202,23.763537333333364,Valid
TST-0160,18.397054999999995,Valid
TST-0036,25.94774566666674,Valid
TST-0275,47.410349666666605,Valid
TST-0023,33.96135233333334,Valid
TST-0091,43.49630173333328,Valid
TST-0151,43.64383866666676,Valid
TST-0310,20.646849666666654,Valid
TST-0239,14.875360666666666,Valid
TST-0331,32.459363000000046,Valid
TST-0316,13.51848766666668,Invalid
TST-0338,14.767689333333328,Valid
TST-0019,19.876075333333336,Valid
TST-0168,13.68561633333332,Invalid
TST-0007,18.498705666666673,Valid
TST-0211,32.69957766666664,Valid
TST-0016,37.47580166666663,Valid
TST-0027,19.72967066666668,Invalid
TST-0031,16.492307000000014,Invalid
TST-0249,28.91737200000006,Valid
TST-0011,16.132421683333334,Valid
TST-0080,22.91061166666663,Invalid
TST-0121,16.522491,Valid
TST-0266,19.50839800000005,Valid
TST-0198,22.248313000000028,Valid
TST-0067,30.560902666666625,Valid
TST-0102,21.701606333333352,Valid
TST-0005,37.509018666666634,Valid
TST-0003,31.931841833333323,Valid
TST-0132,46.586529333333225,Valid
TST-0029,26.63245133333339,Valid
TST-0221,26.49427600000004,Valid
TST-0099,17.485297000000006,Valid
TST-0062,17.47961733333331,Valid
TST-0095,27.20053566666668,Valid
TST-0126,17.07153300000003,Valid
TST-0034,50.03478900000009,Valid
TST-0103,16.08500100000001,Valid
TST-0245,23.220563999999996,Valid
TST-0058,49.680406999999875,Valid
TST-0065,25.957518944444427,Valid
TST-0086,19.672716333333327,Valid
TST-0342,20.52058900000004,Valid
TST-0335,17.75605199999997,Valid
TST-0180,18.172483222222223,Invalid
TST-0294,24.201839333333297,Invalid
TST-0072,20.765427666666735,Valid
TST-0315,42.45273203333333,Invalid
TST-0182,46.180856666666465,Valid
TST-0200,20.82268733333335,Valid
TST-0030,16.63473700000001,Valid
TST-0193,16.893133833333348,Valid
TST-0231,20.803589000000013,Valid
TST-0128,25.777137666666697,Valid
TST-0165,33.255666130158744,Invalid
TST-0074,13.570715333333306,Valid
TST-0004,34.50861446666665,Valid
TST-0157,23.45812000000002,Valid
TST-0143,27.72611299999998,Valid
TST-0179,41.11542566666676,Valid
TST-0075,26.476229722222254,Valid
TST-0233,25.397133499999978,Valid
TST-0111,25.9323486666667,Valid
TST-0350,20.59566833333333,Valid
TST-0122,17.026715000000035,Valid
TST-0076,21.977591333333326,Valid
TST-0304,26.26366433333332,Valid
TST-0190,29.614681333333312,Valid
TST-0061,16.78811199999999,Valid
TST-0009,24.83897666666666,Valid
TST-0194,44.019314999999956,Valid
TST-0156,17.978460500000025,Invalid
TST-0088,31.979447716666662,Valid
TST-0256,46.6401363333333,Valid
TST-0329,16.28340166666668,Valid
TST-0219,42.27375833333337,Valid
TST-0306,14.012338999999999,Valid
TST-0324,23.07382533333333,Valid
TST-0113,21.811701000000024,Valid
TST-0135,16.03742933333333,Valid
TST-0339,17.966991999999983,Valid
TST-0260,23.09190100000006,Valid
TST-0195,26.22089600000002,Valid
TST-0286,27.374264999999955,Valid
TST-0015,25.28761200000003,Valid
TST-0263,19.89627099999999,Valid
TST-0147,24.539479999999944,Valid
TST-0002,24.510996500000015,Invalid
TST-0114,45.21065366666658,Valid
TST-0271,27.05753933333334,Invalid
TST-0223,21.938175000000037,Valid
TST-0344,16.175385666666653,Valid
TST-0183,31.284574822222208,Valid
TST-0327,33.88170333333329,Valid
TST-0250,20.043277833333374,Invalid
TST-0185,38.54482366666665,Valid
TST-0242,21.34667566666663,Valid
TST-0158,13.662292666666623,Valid
TST-0078,45.75332733333336,Valid
TST-0120,23.51191866666671,Invalid
TST-0093,30.39911200000004,Valid
TST-0051,15.814035666666648,Valid
TST-0010,16.17419166666666,Valid
TST-0013,50.33635528571426,Valid
TST-0049,14.991331333333358,Valid
TST-0041,17.95951500000001,Valid
TST-0055,32.11231099999997,Valid
TST-0012,20.282258,Valid
TST-0127,48.94156266666652,Valid
TST-0225,26.392574333333343,Valid
TST-0050,23.78333216666672,Valid
TST-0172,34.51185300000004,Invalid
TST-0079,32.85798166666665,Valid
TST-0046,21.7955026666667,Valid
TST-0325,18.47456033333335,Valid
TST-0280,20.76980266666666,Valid
TST-0140,15.348132333333343,Valid
TST-0244,42.45273203333333,Invalid
TST-0203,20.71178933333334,Valid
TST-0238,18.374799666666643,Valid
TST-0092,29.29505216666669,Valid
TST-0307,13.768272000000003,Valid
TST-0176,31.460595333333323,Valid
TST-0115,17.482199666666663,Invalid
TST-0028,17.47702,Invalid
TST-0317,18.802344999999963,Valid
TST-0251,37.93602864285708,Valid
TST-0301,15.005254333333351,Valid
TST-0116,37.02171900000001,Valid
TST-0056,22.613305666666655,Valid
TST-0166,27.11170624999994,Valid
TST-0247,32.656335000000006,Valid
TST-0291,27.568669166666695,Valid
TST-0167,29.2477922222222,Invalid
TST-0313,48.10271233333333,Valid
TST-0105,13.834122999999988,Valid
TST-0104,20.10525066666667,Valid
TST-0045,34.804697333333294,Valid
TST-0289,44.60840733333323,Valid
TST-0048,27.750535333333307,Valid
TST-0110,18.607358999999995,Valid
TST-0037,41.660290888888944,Valid
TST-0305,18.623526000000012,Valid
TST-0240,32.48585733333337,Valid
TST-0155,33.07001666666667,Valid
TST-0119,51.963118000000065,Valid
TST-0295,23.268475666666646,Valid
TST-0229,18.65849400000004,Valid
TST-0106,21.233067333333345,Valid
TST-0052,15.84823783333332,Valid
TST-0276,21.52802150000001,Invalid
TST-0216,22.241425999999993,Valid
TST-0208,20.28017100000003,Valid
TST-0188,22.039390333333376,Valid
TST-0145,48.34575466666653,Valid
TST-0039,21.626866999999976,Valid
TST-0173,18.48998500000002,Valid
TST-0082,20.15377833333335,Valid
TST-0296,36.838446000000005,Valid
TST-0297,35.04206180952379,Valid
TST-0125,17.6130025,Valid
TST-0199,19.334726666666665,Invalid
TST-0330,21.668284333333347,Valid
TST-0133,36.625030666666625,Valid
TST-0175,32.33915533333331,Valid
TST-0270,45.2999336666665,Valid
TST-0255,17.097445666666665,Valid
TST-0025,13.443589333333302,Valid
TST-0073,13.999555999999984,Valid
TST-0077,20.572149000000007,Valid
TST-0293,14.753224666666675,Valid
TST-0212,32.7175781333333,Invalid
TST-0081,14.329268000000004,Valid
TST-0328,19.633805333333356,Valid
TST-0290,49.11954099999999,Invalid
TST-0337,16.689064333333338,Valid
TST-0171,23.104565000000044,Valid
TST-0057,29.896071000000017,Valid
TST-0284,19.336065666666695,Valid
TST-0063,21.470920666666668,Invalid
TST-0022,22.984980333333336,Valid
TST-0044,17.660934666666662,Valid
TST-0035,24.231400999999977,Valid
TST-0258,43.92438600000006,Invalid
TST-0334,26.377703344444487,Valid
TST-0018,26.283953805555473,Valid
TST-0321,21.84637800000005,Valid
TST-0282,14.911787666666656,Valid
TST-0142,45.41188899999991,Invalid
TST-0312,23.98762866666675,Valid
TST-0101,20.933474333333333,Valid
TST-0134,16.720297833333337,Invalid
TST-0287,33.117103000000014,Valid
TST-0153,33.458878666666706,Valid
TST-0299,28.08078445555555,Valid
TST-0204,22.91061166666663,Invalid
TST-0090,19.891631333333336,Valid
TST-0186,32.799495333333304,Valid
TST-0209,48.80639666666663,Valid
TST-0130,21.754446,Valid
TST-0224,22.34969466666661,Valid
TST-0302,26.80781033333335,Valid
TST-0118,15.362971666666635,Valid
TST-0292,20.337320666666624,Valid
TST-0345,22.931473333333372,Invalid
TST-0108,19.73042500000002,Valid
TST-0071,15.413541666666625,Valid
TST-0053,15.920227666666666,Valid
TST-0273,16.970624833333353,Valid
TST-0300,15.382868666666658,Valid
TST-0148,18.99452166666671,Valid
TST-0347,39.79322099999994,Valid
TST-0146,33.255666130158744,Invalid
TST-0241,18.470642666666684,Valid
TST-0096,16.428676916666653,Valid
TST-0220,23.31716633333332,Valid
TST-0174,21.831079000000003,Valid
TST-0246,14.87782066666662,Valid
TST-0136,18.909833000000038,Valid
TST-0109,20.903478666666658,Valid
TST-0040,37.322039,Valid
TST-0043,21.12052516666673,Invalid
TST-0181,36.741187333333244,Valid
TST-0268,17.53452731111113,Valid
TST-0253,16.243376666666673,Valid
TST-0017,25.21315033333335,Valid
TST-0201,23.098615000000017,Valid
TST-0129,16.798898333333344,Valid
TST-0068,46.98056733333324,Valid
TST-0161,15.697939499999999,Valid
TST-0298,20.40127166666667,Invalid
TST-0094,43.66264266666678,Valid
TST-0336,28.14394100000001,Invalid
TST-0149,21.09176866666666,Valid
TST-0191,48.20775233333316,Valid
TST-0032,18.810994666666716,Valid
TST-0054,16.361899333333337,Valid
TST-0349,52.90430366666665,Valid
TST-0100,17.90452833333332,Valid
TST-0162,19.278144888888907,Valid
TST-0326,20.627431333333337,Invalid
TST-0340,19.463494666666698,Valid
TST-0319,28.86758200000002,Valid
TST-0064,18.92386966666668,Valid
TST-0259,28.942177333333348,Valid
TST-0066,44.25725733333326,Valid
TST-0123,47.43196666666657,Valid
TST-0218,20.548021666666674,Valid
TST-0261,23.918846666666717,Valid
TST-0196,21.27167633333334,Valid
TST-0281,24.166904000000024,Invalid
TST-0303,37.781451666666634,Valid
TST-0254,22.945269999999972,Valid
TST-0322,18.38975899999999,Valid
TST-0139,17.000414833333323,Valid
TST-0257,37.05081566666664,Valid
TST-0033,16.77652333333333,Valid
TST-0112,49.64998433333335,Valid
TST-0021,23.23344733333332,Valid
TST-0083,18.13116233333333,Valid
TST-0150,23.03838566666666,Valid
TST-0265,23.449530000000006,Valid
TST-0227,34.68441700000004,Valid
TST-0170,25.051220666666694,Valid
TST-0318,28.051564111111176,Valid
TST-0097,16.191530333333354,Valid
TST-0152,34.33215133333337,Valid
TST-0084,55.57193066666679,Valid
TST-0124,17.61464066666665,Valid
TST-0098,33.21970700000002,Valid
TST-0341,29.9276263333333,Valid
TST-0042,30.492683666666622,Valid
TST-0189,19.574376333333362,Valid
TST-0285,23.038010999999994,Valid
TST-0020,21.82491166666663,Valid
TST-0314,41.64797933333336,Valid
